index,language
1,4th-dimension
2,abap
3,abc
4,apl
5,atlas
6,actionscript
7,ada
8,agilent
9,algol
10,alice
11,angelscript
12,apex
13,applescript
14,arc
15,autohotke
16,autoit
17,autolisp
18,automator
19,avenue
20,awk
21,bcpl
22,beta
23,ballerina
24,bash
25,basic
26,blitzmax
27,boo
28,brainfuck
29,c
30,c#
31,c++
32,c-omega
33,cfml
34,chill
35,cil
36,cl
37,clips
38,clu
39,cobol
40,comal
41,caml
42,ceylon
43,ch
44,chapel
45,clarion
46,clean
47,clipper
48,clojure
49,cobra
50,coffeescript
51,common lisp
52,crystal
53,curl
54,d
55,dcl
56,dart
57,delphi
58,dibol
59,dylan
60,e
61,ecmascript
62,egl
63,exec
64,eiffel
65,elixir
66,elm
67,emacs lisp
68,emerald
69,erlang
70,etoys
71,euphoria
72,f#
73,factor
74,falcon
75,fantom
76,felix
77,forth
78,fortran
79,fortress
80,freebasic
81,gams
82,glsl
83,gml
84,gnu octave
85,gambas
86,genie
87,go
88,gosu
89,groovy
90,hpl
91,hack
92,harbour
93,haskell
94,haxe
95,heron
96,hypertalk
97,idl
98,intercal
99,icon
100,idris
101,inform
102,iolanguage
103,ioke
104,j
105,j#
106,jade
107,jscript
108,java
109,javafx
110,javascript
111,julia
112,kotlin
113,lpc
114,labview
115,lasso
116,limbo
117,lingo
118,lisp
119,livecode
120,logo
121,lotusscript
122,lua
123,lustre
124,m4
125,mad
126,mantis
127,matlab
128,maxscript
129,mdx
130,mel
131,ml
132,moo
133,mql4
134,mumps
135,magic
136,magik
137,malbolge
138,maple
139,mercury
140,miva
141,modula-2
142,modula-3
143,monkey
144,moto
145,natural
146,nqc
147,nsis
148,nxt-g
149,nemerle
150,netlogo
151,nim
152,ocaml
153,opl
154,oberon
155,object pascal
156,objective-c
157,occam
158,opencl
159,openedge
160,oxygene
161,oz
162,php
163,pilot
164,pl/i
165,pl/sql
166,pov-ray
167,paradox
168,pascal
169,perl
170,pike
171,pliant
172,pony
173,postscript
174,powerbasic
175,powerscript
176,powershell
177,prolog
178,purebasic
179,puredata
180,python
181,q
182,r
183,rebol
184,rexx
185,rpg
186,racket
187,raku
188,red
190,ring
191,ruby
192,rust
193,s
194,s-plus
195,sas
196,signal
197,snobol
198,spark
199,spss
200,sql
201,sqr
202,sather
203,scala
204,scheme
205,scratch
206,seed7
207,simula
208,simulink
209,slate
210,smalltalk
211,smarty
212,solidity
213,squeak
214,squirrel
215,stata
216,structured text
217,suneido
218,supercollider
219,swift
220,tacl
221,tom
222,tcl
223,tex
224,tk
225,typescript
226,uniface
227,vbscript
228,vhdl
229,vala
230,verilog
231,visual-basic
232,webassembly
233,webdna
234,whitespace
235,wolfram
236,x10
237,xbase++
238,xc
239,xpl
240,xquery
241,xslt
242,xen
243,xojo
244,xtend
245,yorick
246,zig
247,zsh
248,aspectj
249,assembly
250,b4x
251,batch
252,bc
253,ct
254,cg
255,foxpro
256,ksh
257,sed
258,shell
259,sml
260,tcsh
261,thinbasic
262,xbase
263,yacc
